pricipal_country_served;primary_source_water_type;status;type;water_system_name;water_system_no
MCLEAN;GW;A;C;ELLERY WATER CORP;IL1130550
LAKE;GW;A;C;ELLIOTT;IL0975736
DU PAGE;SWP;A;C;ELLIS GROVE;IL0430350
PEORIA;GW;A;C;ELLSWORTH;IL1430300
COOK;SWP;A;C;ELM OAK MUTUAL WATER SYSTEM;IL0310780
HANCOCK;SWP;A;C;ELMHURST;IL0670010
JACKSON;SWP;A;C;ELMWOOD;IL0770010
WILL;GW;A;C;ELMWOOD PARK;IL1970350
COLES;GWP;A;C;ELVASTON;IL0290020
LOGAN;GW;A;C;ELVERADO WATER DISTRICT;IL1070200
LIVINGSTON;GW;A;C;ELWOOD;IL1050300
