pricipal_country_served;primary_source_water_type;status;type;water_system_name;water_system_no
PEORIA;GWP;A;C;LIBERTYVILLE;IL1430020
LAKE;SWP;A;C;LICK CREEK PWD;IL0970950
COOK;SWP;A;C;LIMA;IL0311650
SANGAMON;SWP;A;C;LIMESTONE-WALTERS PWD;IL1670180
LAKE;SWP;A;C;LINCOLNSHIRE;IL0971000
COOK;GW;A;C;LINCOLNWOOD;IL0310370
OGLE;GW;A;C;LINDEN MANOR MHP;IL1415300
COOK;GW;A;C;LINDENHURST;IL0315935
GRUNDY;GW;A;C;LINDENTREE TOWNHOMES;IL0631000
DU PAGE;SWP;A;C;LINDENWOOD WATER ASSOCIATION;IL0430551
MONTGOMERY;SW;A;C;LINWAY ESTATES MHP;IL1350400
WARREN;GW;A;C;LISBON NORTH, INC.;IL1875050
WARREN;GWP;A;C;LISLE;IL1870100
MADISON;SWP;A;C;LITCHFIELD;IL1190600
SANGAMON;SWP;A;C;LITTLE SWAN LAKE SD;IL1670700
WILL;GW;A;C;LITTLE YORK;IL1970500
WILL;GWP;A;C;LIVINGSTON;IL1977070
WILL;GW;A;C;LOAMI;IL1978100
IROQUOIS;GW;A;C;LOCKPORT;IL0750550
DU PAGE;SWP;A;C;LOCKPORT HEIGHTS SD;IL0430600
FULTON;GW;A;C;LOCKPORT TOWNSHIP WATER SYSTEM;IL0574620
MACON;GW;A;C;LODA;IL1155150
LAKE;GW;A;C;LOMBARD;IL0970340
COLES;SWP;A;C;LONDON MILLS;IL0290010
CHAMPAIGN;GW;A;C;LONG CREEK TOWNSHIP PWS;IL0190350
ADAMS;GWP;A;C;LONG GROVE;IL0010450
OGLE;GW;A;C;LONGACRE ESTATES MHP;IL1415100
LA SALLE;GW;A;C;LONGVIEW;IL0990450
CLAY;SWP;A;C;LORAINE;IL0250200
WINNEBAGO;GW;A;C;LOST LAKE UTILITY DISTRICT;IL2010150
MOULTRIE;GW;A;C;LOSTANT;IL1390250
WOODFORD;GW;A;C;LOUISVILLE;IL2035100
CHAMPAIGN;GW;A;C;LOVES PARK;IL0190400
WHITESIDE;GW;A;C;LOVINGTON;IL1950300
HENRY;GW;A;C;LOW POINT WATER DISTRICT;IL0735100
MORGAN;GWP;A;C;LUDLOW;IL1370250
LA SALLE;GW;A;C;LYNDON;IL0995336
COOK;SWP;A;C;LYNN WATER ASSOCIATION, INC;IL0311680
HENRY;GW;A;C;LYNNVILLE;IL0735280
COOK;SWP;A;C;LYNNWOOD WATER CORPORATION;IL0311710
MERCER;GW;A;C;LYNWOOD;IL1315150
KANE;GW;A;C;LYNWOOD 3RD ADDITION;IL0895149
FRANKLIN;SWP;A;C;LYONS;IL0554640
TAZEWELL;GW;A;C;M C L W SYSTEM, INC.;IL1790350
MCDONOUGH;SW;A;C;MA CENTER CHICAGO;IL1090350
MACON;GW;A;C;MACEDONIA;IL1150250
MONROE;GWP;A;C;MACKINAW;IL1330200
PUTNAM;GW;A;C;MACOMB;IL1550200
CHAMPAIGN;GW;A;C;MACON;IL0190450
BUREAU;GW;A;C;MAEYSTOWN;IL0110550
DE KALB;GW;A;C;MAGNOLIA;IL0370350
SCOTT;SWP;A;C;MAHOMET;IL1710250
WINNEBAGO;GW;A;C;MALDEN;IL2015545
WILL;GW;A;C;MALTA;IL1970550
MASON;GW;A;C;MANCHESTER;IL1250300
BUREAU;GW;A;C;MANCUSO VILLAGE PARK MHP;IL0110600
PIATT;GW;A;C;MANHATTAN;IL1470300
KANKAKEE;GW;A;C;MANITO;IL0915385
BUREAU;GW;A;C;MANLIUS;IL0115135
KANE;GW;A;C;MANSFIELD;IL0890500
PEORIA;GWP;A;C;MANTENO MHP;IL1430500
CHAMPAIGN;GWP;A;C;MAPLE ACRES MHP;IL0190660
KNOX;GW;A;C;MAPLE PARK;IL0950350
MCHENRY;GW;A;C;MAPLETON;IL1110650
KANE;GW;A;C;MAPLEWOOD MAC LLC;IL0895285
KANE;GW;A;C;MAQUON;IL0895545
FULTON;GWP;A;C;MARENGO;IL0570030
MADISON;SWP;A;C;MARGARETS HI-ACRE MHP;IL1190700
WILLIAMSON;SWP;A;C;MARGARETS PARK VIEW ESTATES MHP;IL1990550
ST CLAIR;SWP;A;C;MARIETTA;IL1630750
PUTNAM;GW;A;C;MARINE;IL1550250
COOK;SWP;A;C;MARION;IL0311770
MACON;GW;A;C;MARISSA;IL1150300
TAZEWELL;GW;A;C;MARK;IL1790400
LA SALLE;GW;A;C;MARKHAM;IL0990500
LA SALLE;GW;A;C;MAROA;IL0990110
CLARK;GW;A;C;MARQUETTE HEIGHTS;IL0230100
CLARK;GWP;A;C;MARSEILLES;IL0230150
IROQUOIS;GW;A;C;MARSEILLES SOUTH;IL0750600
MADISON;GW;A;C;MARSHALL;IL1190750
ST CLAIR;SWP;A;C;MARTINSVILLE;IL1630800
MASON;GW;A;C;MARTINTON;IL1250350
MOULTRIE;GWP;A;C;MARYVILLE;IL1395199
MERCER;GW;A;C;MASCOUTAH;IL1310200
COOK;SWP;A;C;MASON CITY;IL0311800
COLES;SW;A;C;MASON POINT;IL0290250
TAZEWELL;GW;A;C;MATHERVILLE;IL1795750
COOK;SWP;A;C;MATTESON;IL0311830
GRUNDY;GW;A;C;MATTOON;IL0630500
COOK;SWP;A;C;MAYFAIR SUBDIVISION;IL0311740
MCLEAN;GW;A;C;MAYWOOD;IL1130850
HAMILTON;SWP;A;C;MAZON;IL0650200
ALEXANDER;GWP;A;C;MC COOK;IL0035050
MCHENRY;GW;A;C;MC LEAN;IL1110600
PUTNAM;GW;A;C;MC LEANSBORO;IL1550150
MADISON;GWP;A;C;MCCLURE-EAST CAPE PWD;IL1195200
MCLEAN;GW;A;C;MCHENRY;IL1135689
MCLEAN;SWP;A;C;MCNABB;IL1135785
SANGAMON;GW;A;C;MEADOWBROOK PWD;IL1675150
HENDERSON;GWP;A;C;MEADOWS MENNONITE HOME;IL0710250
MACOUPIN;SWP;A;C;MEADOWS OF BLOOMINGTON MHP;IL1170550
COOK;SWP;A;C;MECHANICSBURG-BUFFALO WATER COMMISSION;IL0311860
FORD;GW;A;C;MEDIA;IL0530200
MENARD;GWP;A;C;MEDORA;IL1290010
ADAMS;GWP;A;C;MELROSE PARK;IL0010500
LA SALLE;GW;A;C;MELVIN;IL0990550
LA SALLE;GWP;A;C;MENARD RURAL WATER COOP;IL0990560
MORGAN;GW;A;C;MENDON;IL1370300
OGLE;GW;A;C;MENDOTA;IL1415165
MADISON;GWP;A;C;MENDOTA MOBILE HOME COMMUNITY;IL1190110
COOK;SWP;A;C;MEREDOSIA;IL0311890
WOODFORD;GW;A;C;MERIDIAN MHP;IL2030350
EDGAR;GW;A;C;MERIDIAN VILLAGE;IL0450250
MASSAC;GW;A;C;MERRIONETTE PARK;IL1270150
COOK;SWP;A;C;METAMORA;IL0310230
LOGAN;GW;A;C;METCALF;IL1070500
COOK;SWP;A;C;METROPOLIS;IL0311920
ROCK ISLAND;GW;A;C;MID-MARK WATER COMMISSION;IL1610400
IROQUOIS;GW;A;C;MIDDLETOWN;IL0750650
ADAMS;GW;A;C;MIDLOTHIAN;IL0015300
KANE;GW;A;C;MILAN;IL0890120
WOODFORD;GW;A;C;MILFORD;IL2035165
WHITE;SWP;A;C;MILL CREEK PWD;IL1930300
CARROLL;GW;A;C;MILL CREEK WATER RECLAMATION DISTRICT;IL0150150
ST CLAIR;SWP;A;C;MILL POINT MHP;IL1630850
POPE;GW;A;C;MILL SHOALS;IL1515050
PIKE;GW;A;C;MILLEDGEVILLE;IL1490450
SANGAMON;SWP;A;C;MILLSTADT;IL1670170
BUREAU;GW;A;C;MILLSTONE PWD;IL0110650
TAZEWELL;GW;A;C;MILTON;IL1790450
WOODFORD;GW;A;C;MILTON MANOR MHP;IL2030400
GRUNDY;GW;A;C;MINERAL;IL0630550
COOK;SWP;A;C;MINIER;IL0315920
ROCK ISLAND;SWP;A;C;MINONK;IL1610350
MADISON;SWP;A;C;MINOOKA;IL1195210
SALINE;GWP;A;C;MISSION BROOK SD;IL1655200
MACOUPIN;SWP;A;C;MISSISSIPPI MANUFACTURED HOME COMMUNITY;IL1170600
WILL;SWP;A;C;MITCHELL PWD;IL1970600
ROCK ISLAND;SW;A;C;MITCHELLSVILLE PWD;IL1610450
KANKAKEE;GW;A;C;MODESTO;IL0910650
WILL;GW;A;C;MOKENA;IL1970650
WARREN;GW;A;C;MOLINE;IL1870150
KANE;GW;A;C;MOMENCE;IL0894690
MONTGOMERY;SWP;A;C;MONEE;IL1350020
PIATT;GW;A;C;MONMOUTH;IL1470350
EFFINGHAM;GW;A;C;MONTGOMERY;IL0490350
JEFFERSON;SWP;A;C;MONTGOMERY COUNTY WATER COMPANY;IL0810030
KANE;GW;A;C;MONTICELLO;IL0895319
KENDALL;GW;A;C;MONTROSE;IL0935140
LOGAN;GW;A;C;MOORES PRAIRIE TOWNSHIP WATER COMPANY;IL1075145
MADISON;GWP;A;C;MOOSEHEART;IL1195250
GRUNDY;GW;A;C;MORGAN CREEK;IL0630600
WHITESIDE;GW;A;C;MORNINGSIDE MOBILE ESTATES MHP;IL1950350
CHRISTIAN;GW;A;C;MORO PWD;IL0210300
TAZEWELL;GW;A;C;MORRIS;IL1790500
COOK;SWP;A;C;MORRISON;IL0311950
TAZEWELL;GWP;A;C;MORRISONVILLE;IL1795345
MOULTRIE;SWP;A;C;MORTON;IL1395150
PULASKI;GW;A;C;MORTON GROVE;IL1530100
ST CLAIR;GW;A;C;MORTON MOBILE HOME PARK;IL1635050
BROWN;GWP;A;C;MOULTRIE COUNTY RWD;IL0090050
PULASKI;GWP;A;C;MOUND CITY;IL1530150
CHRISTIAN;GW;A;C;MOUND PWD;IL0210350
WABASH;GU;A;C;MOUND STATION;IL1850200
CARROLL;GW;A;C;MOUNDS;IL0150200
MACOUPIN;SWP;A;C;MOUNT AUBURN;IL1170650
WAYNE;GW;A;C;MOUNT CARMEL;IL1910350
OGLE;GW;A;C;MOUNT CARROLL;IL1410350
OGLE;GW;A;C;MOUNT CLARE;IL1415185
MACOUPIN;SW;A;C;MOUNT ERIE;IL1170700
COOK;SWP;A;C;MOUNT MORRIS;IL0311980
LOGAN;GW;A;C;MOUNT MORRIS ESTATES MHP;IL1070400
LAKE;GW;A;C;MOUNT OLIVE;IL0975849
BROWN;GWP;A;C;MOUNT PROSPECT;IL0090100
JEFFERSON;SWP;A;C;MOUNT PULASKI;IL0810300
JO DAVIESS;GW;A;C;MOUNT ST JOSEPH SCHOOL ICF;IL0855100
MACON;SWP;A;C;MOUNT STERLING;IL1150350
SHELBY;GW;A;C;MOUNT VERNON;IL1730200
SALINE;GWP;A;C;MOUNT VERNON ASSOCIATION INC;IL1650250
BOND;SWP;A;C;MOUNT ZION;IL0050100
FRANKLIN;SWP;A;C;MOWEAQUA;IL0555150
LAKE;SWP;A;C;MUDDY;IL0971150
JACKSON;SWP;A;C;MULBERRY GROVE;IL0775200
JACKSON;SWP;A;C;MULKEYTOWN PWD;IL0770500
MORGAN;SWP;A;C;MUNDELEIN;IL1375150
DU PAGE;SWP;A;C;MURDALE PWD;IL0434670
LA SALLE;GW;A;C;MURPHYSBORO;IL0990600
WASHINGTON;SW;A;C;MURRAYVILLE-WOODSON WATER COMMISSION;IL1890300
JEFFERSON;SWP;A;C;NAPERVILLE;IL0810350
HANCOCK;SW;A;C;NAPLATE;IL0670500
PIKE;GW;A;C;NASHVILLE;IL1490500
CUMBERLAND;SW;A;C;NASON;IL0350150
BUREAU;GW;A;C;NAUVOO;IL0110700
ST CLAIR;SWP;A;C;NEBO;IL1631050
CLINTON;SWP;A;C;NEOGA;IL0274700
SANGAMON;GWP;A;C;NEPONSET;IL1670800
MERCER;GW;A;C;NEW ATHENS;IL1310250
PIKE;GW;A;C;NEW BADEN;IL1490550
GALLATIN;GW;A;C;NEW BERLIN;IL0590150
LOGAN;GW;A;C;NEW BOSTON;IL1070450
WAYNE;SWP;A;C;NEW CANTON;IL1915100
WILL;SWP;A;C;NEW HAVEN;IL1970700
CLINTON;SWP;A;C;NEW HOLLAND;IL0275350
WASHINGTON;SWP;A;C;NEW HOPE WATERWORKS CORP;IL1890350
JERSEY;SWP;A;C;NEW LENOX;IL0830010
MCDONOUGH;GWP;A;C;NEW MEMPHIS PWD;IL1090010
MERCER;GW;A;C;NEW MINDEN;IL1310500
KENDALL;GW;A;C;NEW PIASA CHAUTAUQUA PWS;IL0930100
DOUGLAS;GW;A;C;NEW SALEM PWD;IL0410250
JASPER;GW;A;C;NEW WINDSOR;IL0790100
MACON;GW;A;C;NEWARK;IL1150400
COOK;SWP;A;C;NEWMAN;IL0312010
MACOUPIN;SWP;A;C;NEWTON;IL1170750
RICHLAND;SWP;A;C;NIANTIC;IL1590150
MONTGOMERY;GW;A;C;NILES;IL1350450
MCLEAN;GW;A;C;NILWOOD;IL1130900
COOK;SWP;A;C;NOBLE;IL0312040
FULTON;SWP;A;C;NOKOMIS;IL0570750
WHITE;GW;A;C;NORMAL;IL1930350
KANE;GW;A;C;NORRIDGE;IL0890600
LAKE;SW;A;C;NORRIS;IL0971250
FRANKLIN;SWP;A;C;NORRIS CITY;IL0550300
MADISON;GWP;A;C;NORTH AURORA;IL1195280
MARION;SWP;A;C;NORTH CHICAGO;IL1210030
HENRY;GW;A;C;NORTH CITY;IL0735850
MERCER;GW;A;C;NORTH EAST CENTRAL PWD;IL1310300
MCLEAN;GWP;A;C;NORTH EAST MARION COUNTY WATER CMPNY;IL1130060
MORGAN;SWP;A;C;NORTH HAZELWOOD SBDV;IL1375050
WINNEBAGO;GW;A;C;NORTH HENDERSON;IL2015500
TAZEWELL;GW;A;C;NORTH MEADOW VILLAGE MHP;IL1790550
DU PAGE;GW;A;C;NORTH MORGAN WATER COOP;IL0435850
COOK;SWP;A;C;NORTH PARK PWD;IL0312160
TAZEWELL;GW;A;C;NORTH PEKIN;IL1795780
LA SALLE;GW;A;C;NORTH REGIONAL WATER FAC;IL0990650
COOK;SW;A;C;NORTH RIVERSIDE;IL0312070
SANGAMON;SWP;A;C;NORTH TAZEWELL PWD;IL1670130
JEFFERSON;SWP;A;C;NORTH UTICA;IL0810010
CLINTON;SWP;A;C;NORTHBROOK;IL0270030
DE KALB;GWP;A;C;NORTHBROOK MHC;IL0375500
MCHENRY;GW;A;C;NORTHEAST MOUNT VERNON WATER COMPANY;IL1115850
COOK;SWP;A;C;NORTHERN BREESE WATER ASSOCIATION;IL0312100
COOK;SWP;A;C;NORTHERN ILLINOIS UNIVERSITY-DEKALB;IL0314710
COOK;SWP;A;C;NORTHERN ILLINOIS UTILITIES, INC.;IL0315400
SCHUYLER;GWP;A;C;NORTHFIELD;IL1690010
COOK;SWP;A;C;NORTHLAKE;IL0315300
ST CLAIR;SWP;A;C;NORTHWEST SUBURBAN MUNICIPAL JAWA;IL1631100
DU PAGE;SWP;A;C;NORTHWEST WATER ASSOCIATION OF RUSHVILLE;IL0430700
COOK;SWP;A;C;NORTHWEST WATER COMMISSION;IL0312190
COOK;SWP;A;C;O FALLON;IL0317789
MADISON;SWP;A;C;OAK BROOK;IL1195180
ROCK ISLAND;GW;A;C;OAK FOREST;IL1617785
TAZEWELL;GW;A;C;OAK FOREST HEALTH CENTER;IL1795800
COOK;SWP;A;C;OAK GROVE MHP - MADISON COUNTY;IL0311900
COOK;SWP;A;C;OAK GROVE MHP - ROCK ISLAND COUNTY;IL0312220
BOONE;GW;A;C;OAK LANE ACRES SUBDIVISION;IL0075275
COOK;SWP;A;C;OAK LANE MHC;IL0312250
PUTNAM;GWP;A;C;OAK LAWN;IL1550010
WOODFORD;GW;A;C;OAK LAWN MHP;IL2035300
HENRY;GW;A;C;OAK PARK;IL0730120
DU PAGE;SWP;A;C;OAK PARK ESTATES;IL0430750
MENARD;GWP;A;C;OAK RIDGE SANITARY DISTRICT;IL1290150
COLES;GWP;A;C;OAK VIEW ESTATES;IL0290300
LA SALLE;GW;A;C;OAKBROOK TERRACE;IL0995250
SANGAMON;SWP;A;C;OAKFORD;IL1670060
HENRY;GW;A;C;OAKLAND;IL0735140
HENRY;GW;A;C;OAKLANE SBDV;IL0730070
COOK;GW;A;C;OAKWOOD ESTATES;IL0315185
CRAWFORD;GWP;A;C;OAKWOOD PLACE SUBDIVISION;IL0330150
LIVINGSTON;GW;A;C;OAKWOOD WEST SUBDIVISION;IL1050550
MARION;SWP;A;C;OASIS MHP;IL1210350
CHAMPAIGN;GW;A;C;OBLONG;IL0190500
KANE;GW;A;C;ODELL;IL0895400
LA SALLE;GW;A;C;ODIN;IL0990700
BUREAU;GW;A;C;OGDEN;IL0110800
WASHINGTON;SWP;A;C;OGDEN GARDENS SUBDIVISION;IL1890400
MENARD;GWP;A;C;OGLESBY;IL1295100
GALLATIN;GW;A;C;OHIO;IL0590200
VERMILION;GWP;A;C;OKAWVILLE;IL1835300
PULASKI;GW;A;C;OLD SALEM CHAUTAUQUA;IL1530250
RICHLAND;SW;A;C;OLD SHAWNEETOWN;IL1590200
COOK;SWP;A;C;OLIVET PWD;IL0312280
GALLATIN;GWP;A;C;OLMSTED;IL0590250
IROQUOIS;GW;A;C;OLNEY;IL0750700
KNOX;GW;A;C;OLYMPIA FIELDS;IL0950400
HENRY;GW;A;C;OMAHA;IL0735150
HENDERSON;GW;A;C;ONARGA;IL0710300
STEPHENSON;GW;A;C;ONEIDA;IL1770350
JACKSON;SWP;A;C;OPHIEM PWS;IL0775250
MACON;GWP;A;C;OQUAWKA;IL1150450
OGLE;GW;A;C;ORANGEVILLE;IL1410400
FRANKLIN;SWP;A;C;ORAVILLE WATER DISTRICT;IL0550350
HENRY;GW;A;C;OREANA;IL0730700
COOK;SWP;A;C;OREGON;IL0312310
HENRY;GW;A;C;ORIENT;IL0735200
KENDALL;GW;A;C;ORION;IL0930150
LA SALLE;GW;A;C;ORLAND PARK;IL0990800
WINNEBAGO;GW;A;C;OSCO MUTUAL WATER SUPPLY COMPANY, INC.;IL2015320
MACOUPIN;SW;A;C;OSWEGO;IL1175200
CHRISTIAN;SWP;A;C;OTTAWA;IL0210400
COOK;SWP;A;C;OTTER CREEK LAKE UTILITIES DISTRICT;IL0312340
CHRISTIAN;GW;A;C;OTTER LAKE WATER COMMISSION;IL0210450
MACOUPIN;SWP;A;C;OWANECO;IL1170800
MACOUPIN;SW;A;C;PALATINE;IL1175150
COOK;SWP;A;C;PALMER;IL0312370
COOK;SWP;A;C;PALMYRA;IL0312400
COOK;SWP;A;C;PALMYRA-MODESTO WATER COMMISSION;IL0311000
CHRISTIAN;SW;A;C;PALOS HEIGHTS;IL0210500
BOND;SWP;A;C;PALOS HILLS;IL0054720
ROCK ISLAND;GW;A;C;PALOS PARK;IL1617665
COOK;SWP;A;C;PANA;IL0310010
EDGAR;GW;A;C;PANAMA;IL0450300
LAKE;SWP;A;C;PARADISE MANOR MHP;IL0971400
LAKE;SWP;A;C;PARADISE MHP;IL0975575
COOK;GW;A;C;PARIS;IL0314740
BOONE;GW;A;C;PARK CITY;IL0075235
COOK;SWP;A;C;PARK CITY MHP;IL0312460
SANGAMON;SWP;A;C;PARK FOREST;IL1670110
RICHLAND;SWP;A;C;PARK MEADOWLAND WEST MHP;IL1590250
MARION;SWP;A;C;PARK RIDGE;IL1210400
GREENE;GWP;A;C;PARK RIDGE MHC;IL0610450
LAKE;GW;A;C;PARKERSBURG;IL0975485
LEE;GW;A;C;PATOKA;IL1030400
SANGAMON;SWP;A;C;PATTERSON (INC AS WILMINGTON);IL1670850
FORD;GW;A;C;PAULS MHP;IL0530250
FORD;GWP;A;C;PAW PAW;IL0530260
ADAMS;GW;A;C;PAWNEE;IL0010550
PIKE;GW;A;C;PAXTON;IL1490650
STEPHENSON;GW;A;C;PAXTON MHP LLC;IL1770400
WINNEBAGO;GW;A;C;PAYSON;IL2010250
TAZEWELL;GWP;A;C;PEARL;IL1790030
KANKAKEE;GWP;A;C;PEARL CITY;IL0910010
CHAMPAIGN;GW;A;C;PECATONICA;IL0195100
PEORIA;GW;A;C;PEKIN FED CORRECTIONAL INST AND PRSNCMP;IL1434750
WILL;GW;A;C;PEMBROKE TOWNSHIP;IL1970750
RANDOLPH;GW;A;C;PENFIELD PWD;IL1570350
PIKE;GWP;A;C;PEORIA HEIGHTS;IL1490700
LA SALLE;GW;A;C;PEOTONE;IL0990850
MENARD;GW;A;C;PERCY;IL1290200
LAWRENCE;GWP;A;C;PERRY;IL1015350
WILL;GW;A;C;PERU;IL1975385
SANGAMON;SWP;A;C;PETERSBURG;IL1670250
WINNEBAGO;GW;A;C;PETROLIA PWD;IL2015625
COOK;SWP;A;C;PHEASANT LAKE ESTATES MHP;IL0312490
MADISON;SWP;A;C;PHEASANT RUN MHP;IL1194760
PIKE;GW;A;C;PHIL-AIRE ESTATES MHP;IL1495000
PERRY;SW;A;C;PHOENIX;IL1450150
KANE;GW;A;C;PIERRON;IL0890160
FORD;GW;A;C;PIKE COUNTY PWD 1;IL0530300
WILLIAMSON;SWP;A;C;PINCKNEYVILLE;IL1990600
PIKE;GW;A;C;PINGREE GROVE;IL1490750
WILL;SWP;A;C;PIPER CITY;IL1970800
ADAMS;GW;A;C;PITTSBURG;IL0010600
KENDALL;GW;A;C;PITTSFIELD;IL0930200
PIKE;GW;A;C;PLAINFIELD;IL1490800
SANGAMON;GW;A;C;PLAINVILLE;IL1670900
DU PAGE;GW;A;C;PLANO;IL0435945
PEORIA;GW;A;C;PLEASANT HILL;IL1435470
FRANKLIN;SWP;A;C;PLEASANT PLAINS;IL0555400
HANCOCK;GW;A;C;PLEASANT RIDGE MHP;IL0670550
BOND;SWP;A;C;PLEASANT VALLEY PWD;IL0050200
OGLE;GW;A;C;PLUMFIELD WATER DISTRICT;IL1410450
DU PAGE;GW;A;C;PLYMOUTH;IL0437000
MADISON;SWP;A;C;POCAHONTAS;IL1195300
BOONE;GW;A;C;POLO;IL0070150
BOONE;GW;A;C;POLO DR AND SADDLE RD SUBDIVISION;IL0070300
BOONE;GW;A;C;PONTOON BEACH PWD;IL0070350
LAKE;GW;A;C;POPLAR GROVE;IL0971120
ROCK ISLAND;GW;A;C;POPLAR GROVE SOUTH;IL1610550
LAKE;GW;A;C;POPLAR GROVE WEST-COUNTRYSIDE;IL0971160
COOK;SWP;A;C;PORT BARRINGTON SHORES SUBDIVISION;IL0312520
VERMILION;GW;A;C;PORT BYRON;IL1830650
KANE;GW;A;C;PORTS SULLIVAN LAKE OWNERS ASSOCIATION;IL0895550
MCDONOUGH;GW;A;C;POSEN;IL1090400
RANDOLPH;GWP;A;C;POTOMAC;IL1570400
ST CLAIR;SWP;A;C;POWERS WATER CO, INC.;IL1635070
GRUNDY;GW;A;C;PRAIRIE CITY;IL0630060
MCHENRY;GW;A;C;PRAIRIE DU ROCHER;IL1115730
WINNEBAGO;GW;A;C;PRAIRIE DUPONT PWD;IL2015100
LAKE;GW;A;C;PRAIRIE OAKS ESTS HOMEOWNERS ASSN;IL0971200
TAZEWELL;GW;A;C;PRAIRIE RIDGE ASSOCIATION;IL1795900
IROQUOIS;GWP;A;C;PRAIRIE ROAD PUMP CORPORATION;IL0750020
IROQUOIS;GW;A;C;PRAIRIE TRAILS OF LONG GROVE;IL0755389
BUREAU;GW;A;C;PRAIRIE VIEW WATER ASSOCIATION;IL0110850
PEORIA;GW;A;C;PRAIRIEVIEW LUTHERAN HOME;IL1430750
LAKE;GW;A;C;PRESENCE MERKLE KNIPRATH;IL0970320
WHITESIDE;GW;A;C;PRINCETON;IL1950400
COOK;SWP;A;C;PRINCEVILLE;IL0312530
SALINE;SWP;A;C;PROMONTORY POINTE HOMEOWNERS ASSOCIATION;IL1655110
PULASKI;GWP;A;C;PROPHETSTOWN;IL1530300
ADAMS;SW;A;C;PROSPECT HEIGHTS;IL0010650
MARION;SWP;A;C;PROSPECT WATER DISTRICT;IL1215100
WASHINGTON;SWP;A;C;PULASKI;IL1890450
WINNEBAGO;GW;A;C;QUINCY;IL2015645
ROCK ISLAND;GW;A;C;RACCOON WATER COMPANY;IL1615580
SALINE;GWP;A;C;RADOM;IL1655120
FAYETTE;GW;A;C;RAINBOW LANE MHP;IL0510200
VERMILION;GW;A;C;RAINBOW RIDGE;IL1830700
CHAMPAIGN;GW;A;C;RALEIGH WATER DISTRICT;IL0190650
ROCK ISLAND;GW;A;C;RAMSEY;IL1610600
HENDERSON;GWP;A;C;RANKIN;IL0710350
MONTGOMERY;GW;A;C;RANTOUL;IL1350550
RANDOLPH;GW;A;C;RAPIDS CITY;IL1570450
KANKAKEE;GW;A;C;RARITAN;IL0914780
FRANKLIN;SW;A;C;RAYMOND;IL0555100
LA SALLE;GWP;A;C;RED BUD;IL0995400
ROCK ISLAND;GW;A;C;REDDICK;IL1614800
MCHENRY;GW;A;C;REND LAKE INTER-CITY WATER SYSTEM;IL1110750
COOK;GW;A;C;RETZ ADDN IMPROVEMENT ASSOCIATION;IL0312550
WASHINGTON;SWP;A;C;REYNOLDS;IL1890500
VERMILION;GW;A;C;RICHMOND;IL1830750
SANGAMON;SWP;A;C;RICHTON PARK;IL1670160
GRUNDY;GW;A;C;RICHVIEW;IL0635250
ROCK ISLAND;GW;A;C;RIDGE FARM;IL1615670
GALLATIN;GWP;A;C;RIDGE VILLAGE MHP;IL0590300
KNOX;GW;A;C;RIDGECREST NORTH SUBDIVISION;IL0950450
BROWN;GWP;A;C;RIDGEWOOD LEDGES WATER ASSOCIATION;IL0090150
COOK;SWP;A;C;RIDGWAY;IL0312610
COOK;SWP;A;C;RIO;IL0312640
KANKAKEE;GW;A;C;RIPLEY;IL0915445
COOK;SWP;A;C;RIVER FOREST;IL0312580
COOK;SWP;A;C;RIVER GROVE;IL0312670
WHITESIDE;GWP;A;C;RIVERCREST MHP;IL1955165
SANGAMON;GW;A;C;RIVERDALE;IL1670950
LAKE;SWP;A;C;RIVERSIDE;IL0971450
WOODFORD;GW;A;C;RIVERSIDE ESTATES MHP;IL2030550
COOK;SWP;A;C;RIVERTON;IL0312700
FORD;GW;A;C;RIVERWOODS;IL0530350
CRAWFORD;GW;A;C;ROANOKE;IL0335030
OGLE;GW;A;C;ROBBINS;IL1410500
SANGAMON;SWP;A;C;ROBERTS;IL1671000
STEPHENSON;GW;A;C;ROBINSON-PALESTINE WATER COMMISSION;IL1770500
WHITESIDE;GW;A;C;ROCHELLE;IL1950450
ROCK ISLAND;SW;A;C;ROCHESTER;IL1610650
ROCK ISLAND;SW;A;C;ROCK CITY;IL1615387
LEE;GW;A;C;ROCK FALLS;IL1035245
GREENE;GWP;A;C;ROCK ISLAND;IL0610300
WILL;GW;A;C;ROCK ISLAND ARSENAL, US ARMY;IL1970850
WINNEBAGO;GW;A;C;ROCK RIVER ESTATES MHP;IL2010300
LAKE;GW;A;C;ROCKBRIDGE;IL0975585
WINNEBAGO;GW;A;C;ROCKDALE;IL2010350
OGLE;GW;A;C;ROCKFORD;IL1415350
LAKE;GW;A;C;ROCKLAND MHP;IL0970110
OGLE;GW;A;C;ROCKTON;IL1415245
COOK;SWP;A;C;ROCKVALE CORPORATION;IL0312730
OGLE;GW;A;C;ROCKWELL UTILITIES, LLC;IL1415265
WILL;GW;A;C;ROLLING GREEN ESTATES MHP;IL1970900
GREENE;GW;A;C;ROLLING MEADOWS;IL0610350
DU PAGE;SWP;A;C;ROLLING MEADOWS MHP;IL0434820
COOK;SWP;A;C;ROMEOVILLE;IL0312760
WARREN;GWP;A;C;ROODHOUSE;IL1870200
HARDIN;GU;A;C;ROSELLE;IL0690150
VERMILION;GW;A;C;ROSEMONT;IL1830800
LAKE;SWP;A;C;ROSEVILLE;IL0971500
LAKE;SWP;A;C;ROSICLARE;IL0971550
LAKE;SWP;A;C;ROSSVILLE;IL0970260
